chr1	270518180	0	100000	-	chr17	95294699	95155474	95255474	6	100000	8	id:f:0.836589	kc:f:0.755569
chr1	270518180	100000	200000	-	chr18	90720763	3035614	3135614	7	100000	8	id:f:0.843654	kc:f:0.821514
chr1	270518180	100000	200000	+	chrX	169476592	120696696	120796696	7	100000	8	id:f:0.843654	kc:f:0.821514
chr1	270518180	200000	300000	+	chr8	130127694	4746504	4846504	6	100000	8	id:f:0.836837	kc:f:0.894939
chr1	270518180	200000	300000	-	chr10	130530862	130336163	130436163	6	100000	8	id:f:0.836837	kc:f:0.894939
chr1	270518180	300000	400000	+	chr1	195154279	9121704	9221704	5	100000	8	id:f:0.828969	kc:f:0.383991
chr1	270518180	300000	400000	-	chr11	121973369	21374587	21474587	5	100000	8	id:f:0.828969	kc:f:0.383991
chr1	270518180	300000	400000	+	chr13	120883175	12757134	12857134	5	100000	8	id:f:0.828969	kc:f:0.383991
chr1	270518180	300000	400000	+	chr14	125139656	50497028	50597028	5	100000	8	id:f:0.828969	kc:f:0.383991
chr1	270518180	300000	400000	+	chr15	104073951	46833113	46933113	5	100000	8	id:f:0.828969	kc:f:0.383991
chr1	270518180	300000	400000	+	chr19	61420004	9419941	9519941	5	100000	8	id:f:0.828969	kc:f:0.383991
chr1	270518180	300000	400000	-	chrX	169476592	120533551	120633551	5	100000	8	id:f:0.828969	kc:f:0.383991
chr1	270518180	500000	600000	-	chrX	169476592	90701350	90801350	7	100000	8	id:f:0.843654	kc:f:0.461988
chr1	270518180	600000	700000	+	chr9	124359700	13070039	13170039	6	100000	8	id:f:0.836837	kc:f:0.782565
chr1	270518180	700000	800000	+	chr5	151758149	109759238	109859238	6	100000	8	id:f:0.836837	kc:f:0.840711
chr1	270518180	700000	800000	-	chr10	130530862	130336163	130436163	6	100000	8	id:f:0.836837	kc:f:0.840711
chr1	270518180	900000	1000000	-	chrX	169476592	120833250	120933250	7	100000	8	id:f:0.843529	kc:f:0.761739
chr1	270518180	1000000	1100000	-	chr8	130127694	4746504	4846504	6	100000	8	id:f:0.836962	kc:f:0.808712
chr1	270518180	1000000	1100000	+	chr14	125139656	50501839	50601839	6	100000	8	id:f:0.836962	kc:f:0.808712
